품목코드,품종,품목,규격,단위, 개당단가 , 구입연도 ,구입일자,수량,구입가격,발주일자,입고일자,리드타임
AM-AGI-00001,"가스,화공약품",산소,"99.99%액체가스,탱크로리 (1.14kg/ℓ)",ℓ, 470 ,2020,2020-09-25,16," 7,520 ",2020-09-05,2021-03-04,180
AM-AGJ-00001,"가스,화공약품",질소,"99.99%액체가스,탱크로리 (0.808kg/ℓ)",ℓ, 470 ,2020,2020-01-09,26," 12,220 ",2020-01-05,2020-06-12,159
AM-AGK-00001,"가스,화공약품",수소,"압축가스,99.9% 40L",병," 11,500 ",2020,2020-08-13,18," 207,000 ",2020-08-11,2020-12-05,116
AM-AGL-00001,"가스,화공약품",아세틸렌,98% 용접용 (1kg=853ℓ),kg," 11,500 ",2020,2020-07-24,44," 506,000 ",2020-07-21,2020-09-15,56
AN-AGM-00001,섬유제품,면솜,상품 3.75kg (목화솜),kg," 18,100 ",2020,2020-08-27,33," 597,300 ",2020-08-27,2021-01-04,130
AN-AGN-00001,섬유제품,화학솜,중품 3.75kg(열처리됨),kg," 9,750 ",2020,2020-03-09,39," 380,250 ",2020-03-08,2020-06-20,104
AN-AGO-00001,섬유제품,혼방면사,30번수단사 (코마) 65/35,kg," 3,638 ",2020,2020-12-09,33," 120,054 ",2020-11-16,2021-05-14,179
AN-AGP-00001,섬유제품,폴리에스테르F사,75D/36수 SD                                              ,kg," 2,170 ",2020,2020-07-06,10," 21,700 ",2020-06-18,2020-09-26,100
AN-AGQ-00001,섬유제품,아세테이트사,75D                                                                        ,kg," 6,520 ",2020,2020-11-24,5," 32,600 ",2020-10-26,2020-11-03,8
AN-AGR-00001,섬유제품,폴리에스테르DTY,150 D/SD A급                                                        ,kg," 2,170 ",2020,2020-05-27,5," 10,850 ",2020-04-28,2020-05-09,11
AN-AGS-00001,섬유제품,S/T폴리에스터사,150 D/96 SD                                                            ,kg," 2,510 ",2020,2020-07-15,26," 65,260 ",2020-06-22,2020-10-21,121
AO-AGT-00001,용지,중질지,70g/㎡4×6판                                         ,연," 37,230 ",2020,2020-12-08,11," 409,530 ",2020-12-01,2020-12-29,28
AO-AGU-00001,용지,백상지,70g/㎡4×6판                             ,연," 47,560 ",2020,2020-04-06,14," 665,840 ",2020-03-07,2020-07-18,133
AO-AGV-00001,용지,아트지,100g/㎡4×6판(양면)                 ,연," 64,360 ",2020,2020-06-25,26," 1,673,360 ",2020-06-15,2020-10-01,108
AO-AGW-00001,용지,박엽지,평량25g(식품포장용),Ton," 2,400,000 ",2020,2020-11-03,10," 24,000,000 ",2020-10-09,2020-12-11,63
AO-AGX-00001,용지,종이컵지,평량230g,Ton," 1,300,000 ",2020,2020-09-17,32," 41,600,000 ",2020-09-02,2021-02-25,176
AO-AGY-00001,용지,마니라판지,비코팅 200g/㎡4×6판             ,연," 103,100 ",2020,2020-03-16,16," 1,649,600 ",2020-02-20,2020-07-11,142
AO-AGZ-00001,용지,백크라프트지,75∼120g/㎡                             ,Ton," 1,700,000 ",2020,2020-02-16,22," 37,400,000 ",2020-02-04,2020-03-26,51
AO-AHA-00001,용지,골판지원지,KA180g/㎡                                ,Ton," 520,000 ",2020,2020-06-07,42," 21,840,000 ",2020-05-23,2020-07-13,51
AO-AHB-00001,용지,알루미늄박지,(7∼15μ)×100㎜                         ,kg," 6,500 ",2020,2020-03-09,39," 253,500 ",2020-02-16,2020-03-03,16
AO-AHC-00001,용지,전산지,백색평량70g/㎡                         ,Ton," 1,604,400 ",2020,2020-03-27,44," 70,593,600 ",2020-03-14,2020-05-28,75
AP-AHD-00001,사무용품,컴퓨터본체,DB500S9Z-AD2BA,대," 560,000 ",2020,2020-12-21,11," 6,160,000 ",2020-12-08,2021-02-03,57
AP-AHE-00001,사무용품,컬러레이져프린터,CLP-365W                                                                ,대," 215,000 ",2020,2020-01-10,12," 2,580,000 ",2019-12-20,2020-03-18,89
AP-AHF-00001,사무용품,CD-R,LG 700MB 52X 50장 벌크,EA," 11,000 ",2020,2020-11-14,22," 242,000 ",2020-10-18,2021-02-14,119
AP-AHG-00001,사무용품,팩시밀리,FAX L150,대," 277,000 ",2020,2020-07-12,23," 6,371,000 ",2020-07-03,2020-11-14,134
AP-AHH-00001,사무용품,L형 데스크,SD316R 1600*1200*720mm,EA," 425,000 ",2020,2020-12-13,19," 8,075,000 ",2020-12-10,2021-02-24,76
AP-AHI-00001,사무용품,회전의자(가죽),CH3100 685×665×1200~1270mm                           ,EA," 1,306,000 ",2020,2020-08-26,38," 49,628,000 ",2020-08-06,2020-08-16,10
AA-AAA-00001,철강재,원형봉강,SS275 16㎜,kg," 1,220 ",2021,2021-01-09,38," 46,360 ",2020-12-23,2021-03-15,82
AA-AAB-00001,철강재,보통철근,SD300 D10㎜,M/T," 1,075,000 ",2021,2021-01-11,6," 6,450,000 ",2020-12-19,2021-05-03,135
AA-AAC-00001,철강재,고장력철근,SD400 D10㎜,M/T," 1,085,000 ",2021,2021-03-20,20," 21,700,000 ",2021-02-23,2021-07-24,151
AA-AAD-00001,철강재,등변ㄱ형강(소형),65×65×6㎜,kg," 1,220 ",2021,2021-09-22,24," 29,280 ",2021-09-10,2022-01-19,131
AA-AAE-00001,철강재,ㄷ형강,100×50×5㎜,kg," 1,220 ",2021,2021-10-15,25," 30,500 ",2021-09-20,2021-09-26,6
AA-AAF-00001,철강재,4각강,12㎜,kg," 1,220 ",2021,2021-12-01,46," 56,120 ",2021-11-30,2022-01-01,32
AA-AAG-00001,철강재,평강,4.5t×50㎜,kg," 1,220 ",2021,2021-10-26,42," 51,240 ",2021-10-03,2021-10-24,21
AA-AAH-00001,철강재,구조용H형강,"100×100×6×8㎜(압연,중형)",M/T," 1,300,000 ",2021,2021-07-12,40," 52,000,000 ",2021-07-07,2021-12-01,147
AA-AAI-00001,철강재,열연박판,"SS275 1.4≤T≤1.6㎜ (914×1,829)",kg," 1,370 ",2021,2021-08-23,4," 5,480 ",2021-08-15,2021-12-24,131
AA-AAJ-00001,철강재,열연후판,"SS275 12.0㎜≤T≤20.0㎜(2,438×6029)",kg," 1,190 ",2021,2021-09-14,39," 46,410 ",2021-09-07,2021-09-20,13
AA-AAK-00001,철강재,냉연강판,CR(SCP1) 1.0㎜≤T<1.75㎜,kg," 1,380 ",2021,2021-01-10,26," 35,880 ",2020-12-17,2020-12-25,8
AA-AAL-00001,철강재,전기아연도강판,"0.35㎜ ≤T〈0.4 ㎜((914×1,829)",매," 7,050 ",2021,2021-12-27,7," 49,350 ",2021-12-11,2022-01-18,38
AA-AAM-00001,철강재,아연도강판,"T≤0.20㎜ (914×1,829)",매," 5,070 ",2021,2021-09-05,29," 147,030 ",2021-08-11,2021-11-01,82
AA-AAN-00001,철강재,석도강판,0.25×5.6/5.6(50×50),M/T," 2,341,000 ",2021,2021-06-14,28," 65,548,000 ",2021-06-07,2021-07-17,40
AA-AAO-00001,철강재,구조용탄소강관(백관),76.3×3.2mm,m," 11,090 ",2021,2021-03-09,9," 99,810 ",2021-02-25,2021-06-30,125
AA-AAP-00001,철강재,보통철선,#10   3.2㎜,kg," 1,390 ",2021,2021-05-16,45," 62,550 ",2021-04-19,2021-09-27,161
AA-AAQ-00001,철강재,소철선(어닐링),＃6   4.0㎜,kg," 1,460 ",2021,2021-07-11,46," 67,160 ",2021-07-02,2021-11-17,138
AA-AAR-00001,철강재,아연도철선,1종 #8   4.0㎜,kg," 1,710 ",2021,2021-06-05,1," 1,710 ",2021-05-26,2021-10-27,154
AA-AAS-00001,철강재,경강선,선경 1.0∼1.19㎜,kg," 2,760 ",2021,2021-10-20,42," 115,920 ",2021-10-18,2022-01-20,94
AA-AAT-00001,철강재,PC강선2종,단선12.7ø단중0.785/m,kg," 2,010 ",2021,2021-06-14,23," 46,230 ",2021-06-06,2021-10-18,134
AA-AAU-00001,철강재,와이어로프,6×24(도금)마심 10㎜,m," 1,220 ",2021,2021-09-01,5," 6,100 ",2021-08-16,2022-01-19,156
AA-AAV-00001,철강재,철못,N25   23kg(일반용),Box," 40,460 ",2021,2021-12-17,42," 1,699,320 ",2021-12-02,2022-01-02,31
AA-AAW-00001,철강재,육각볼트,M6×20㎜,EA, 16 ,2021,2021-05-14,25, 400 ,2021-04-17,2021-05-23,36
AB-AAX-00001,특수강재,스테인리스강판(STS304 2B),STS304 2.0mm,M/T," 3,900,000 ",2021,2021-11-09,36," 140,400,000 ",2021-10-15,2021-11-16,32
AB-AAY-00001,특수강재,스테인리스선(STS304),0.3㎜,kg," 9,000 ",2021,2021-01-11,7," 63,000 ",2021-01-10,2021-05-25,135
AB-AAZ-00001,특수강재,구조용스테인리스관(원형),STS304 12.7×1.0㎜(0.291kg/m),m," 1,650 ",2021,2021-11-08,7," 11,550 ",2021-10-09,2022-03-06,148
AB-ABA-00001,특수강재,회주철품(KSD4301),GC-200,kg," 2,500 ",2021,2021-12-14,40," 100,000 ",2021-11-27,2021-12-01,4
AB-ABB-00001,특수강재,기계구조용탄소강,SMxxC Φ25∼250,kg," 1,730 ",2021,2021-10-20,38," 65,740 ",2021-10-08,2022-03-27,170
AC-ABC-00001,비철제품,동판(1종),0.5㎜×400㎜×1200㎜(KSD 5201),kg," 15,370 ",2021,2021-07-23,12," 184,440 ",2021-06-26,2021-11-02,129
AC-ABD-00001,비철제품,동봉,두께 6.1∼10㎜,kg," 16,630 ",2021,2021-07-16,41," 681,830 ",2021-06-29,2021-12-26,180
AC-ABE-00001,비철제품,동선,7.0∼12.9㎜(경질AA급),kg," 16,290 ",2021,2021-08-10,48," 781,920 ",2021-07-16,2021-11-14,121
AC-ABF-00001,비철제품,황동판(2종),"0.5×400×1,200㎜",kg," 12,180 ",2021,2021-03-27,15," 182,700 ",2021-03-04,2021-06-09,97
AC-ABG-00001,비철제품,전기동,99.99% 이상,Ton," 12,860,000 ",2021,2021-05-19,28," 360,080,000 ",2021-05-05,2021-06-01,27
AC-ABH-00001,비철제품,알루미늄괴,V-INGOT(중국제),Ton," 3,410,000 ",2021,2021-02-21,5," 17,050,000 ",2021-01-26,2021-04-04,68
AC-ABI-00001,비철제품,니켈,99.9%이상 ,kg," 24,300 ",2021,2021-09-14,16," 388,800 ",2021-09-01,2022-02-04,156
AC-ABJ-00001,비철제품,카드뮴,99.9%이상 (합금용),kg," 5,000 ",2021,2021-10-25,41," 205,000 ",2021-10-01,2021-12-04,64
AC-ABK-00001,비철제품,전기아연,99.995%(ＳＨＧ),Ton," 3,985,000 ",2021,2021-10-26,30," 119,550,000 ",2021-10-11,2022-03-31,171
AC-ABL-00001,비철제품,전기연,99.99%이상,Ton," 3,198,000 ",2021,2021-05-10,48," 153,504,000 ",2021-05-03,2021-07-16,74
AC-ABM-00001,비철제품,주석(석괴),99.99%이상,kg," 47,800 ",2021,2021-01-16,49," 2,342,200 ",2020-12-24,2020-12-30,6
AC-ABN-00001,비철제품,망간,99.98%이상,kg," 8,000 ",2021,2021-11-12,2," 16,000 ",2021-11-11,2022-03-04,113
AC-ABO-00001,비철제품,연판,"1㎜× 909×1,818㎜",매," 70,000 ",2021,2021-02-27,26," 1,820,000 ",2021-02-06,2021-03-12,34
AC-ABP-00001,비철제품,봉납땜,Sn 50%,kg," 31,500 ",2021,2021-07-25,47," 1,480,500 ",2021-07-16,2021-10-13,89
AC-ABQ-00001,비철제품,알루미늄판,"0.4㎜ 400×1,200㎜(A1235)",kg," 5,490 ",2021,2021-10-21,43," 236,070 ",2021-10-12,2022-01-24,104
AC-ABR-00001,비철제품,알루미늄관,22×1.0㎜×3m,본," 3,790 ",2021,2021-10-15,45," 170,550 ",2021-10-05,2021-11-27,53
AD-ABS-00001,골재 / 목재,모래,"江모래, 시내도착도                       ",㎥," 35,000 ",2021,2021-06-27,10," 350,000 ",2021-06-17,2021-10-27,132
AD-ABT-00001,골재 / 목재,자연자갈,#57 25mm시내도착도,㎥," 30,000 ",2021,2021-10-01,8," 240,000 ",2021-09-17,2021-12-13,87
AD-ABU-00001,골재 / 목재,쇄석자갈,#467 40mm시내도착도,㎥," 28,000 ",2021,2021-01-27,12," 336,000 ",2021-01-04,2021-06-07,154
AD-ABV-00001,골재 / 목재,시멘트(보통),40kg (포장품)                                                           ,포," 5,100 ",2021,2021-06-01,49," 249,900 ",2021-05-02,2021-07-24,83
AD-ABW-00001,골재 / 목재,백시멘트,40kg /NET                                                                ,포," 11,500 ",2021,2021-10-13,12," 138,000 ",2021-09-17,2021-11-16,60
AD-ABX-00001,골재 / 목재,타일시멘트,"줄눈용백색.ISO인증, KS인증  25kg",포," 5,200 ",2021,2021-12-10,36," 187,200 ",2021-11-19,2022-04-30,162
AD-ABY-00001,골재 / 목재,레미콘,25㎜ 18MPa×80mm,㎥," 69,040 ",2021,2021-05-01,20," 1,380,800 ",2021-04-28,2021-07-17,80
AD-ABZ-00001,골재 / 목재,미송각재,30×30×3600mm,재," 2,100 ",2021,2021-10-20,14," 29,400 ",2021-10-13,2021-12-28,76
AD-ACA-00001,골재 / 목재,외송각재,30×30×3600mm,재," 1,900 ",2021,2021-06-11,50," 95,000 ",2021-06-08,2021-10-12,126
AD-ACB-00001,골재 / 목재,나왕각재,45×90×3600mm,재," 6,300 ",2021,2021-10-18,36," 226,800 ",2021-10-09,2022-01-21,104
AD-ACC-00001,골재 / 목재,미송판재,30×300×3600mm,재," 2,400 ",2021,2021-06-21,50," 120,000 ",2021-06-18,2021-06-27,9
AD-ACD-00001,골재 / 목재,외송판재,30×300×3600mm,재," 1,900 ",2021,2021-06-22,28," 53,200 ",2021-06-06,2021-07-16,40
AD-ACE-00001,골재 / 목재,나왕판재,30×300×3600mm(상품),재," 6,400 ",2021,2021-05-04,36," 230,400 ",2021-04-21,2021-09-30,162
AE-ACF-00001,토목자재,스트레이트아스팔트,AP-3 침입도 80∼100㎜,kg, 700 ,2021,2021-01-25,49," 34,300 ",2021-01-13,2021-04-27,104
AE-ACG-00001,토목자재,아스콘,#467기층용,M/T," 63,000 ",2021,2021-04-12,46," 2,898,000 ",2021-03-18,2021-06-09,83
AE-ACH-00001,토목자재,보차도경계석,직선200×250×1000㎜                      ,EA," 29,520 ",2021,2021-10-24,44," 1,298,880 ",2021-10-01,2022-01-18,109
AE-ACI-00001,토목자재,보차도용콘크리트조립블록,U형블록 6T백.청.황.녹,㎡," 11,000 ",2021,2021-09-24,1," 11,000 ",2021-09-08,2021-12-06,89
AE-ACJ-00001,토목자재,콘크리트보차도경계블록,KSF4006 B형 18×20.5×25×100㎜,EA," 7,600 ",2021,2021-07-02,42," 319,200 ",2021-06-15,2021-10-03,110
AE-ACK-00001,토목자재,U형블록,222×110.5×60 회색,㎡," 8,500 ",2021,2021-11-02,28," 238,000 ",2021-10-20,2021-10-29,9
AE-ACL-00001,토목자재,돌망태,"사각개비온, 아연도금철선(4종)￠4.0mm, 2.0*1.0*1.0m",조," 94,900 ",2021,2021-07-14,16," 1,518,400 ",2021-06-24,2021-07-20,26
AE-ACM-00001,토목자재,흄관,500×42㎜(보통관),본," 79,800 ",2021,2021-02-11,32," 2,553,600 ",2021-02-03,2021-03-05,30
AE-ACN-00001,토목자재,콘크리트파일(PHC PILE),400×65×10m(A종),본," 274,800 ",2021,2021-08-08,11," 3,022,800 ",2021-07-22,2022-01-06,168
AE-ACO-00001,토목자재,V.R관,400mm×60mm(보통관A형 2종),본," 62,800 ",2021,2021-11-06,45," 2,826,000 ",2021-10-23,2021-11-25,33
AE-ACP-00001,토목자재,U형강널말뚝,400×150×13㎜(재질 SY300),M/T," 1,000,000 ",2021,2021-01-09,30," 30,000,000 ",2020-12-30,2021-01-07,8
AE-ACQ-00001,토목자재,산업용화약,뉴마이트플러스Ⅰ 25mm  20kg/Box,Box," 74,200 ",2021,2021-05-19,43," 3,190,600 ",2021-05-18,2021-11-04,170
AF-ACR-00001,건축자재,콘크리트벽돌,190×90×57㎜ KS,매, 70 ,2021,2021-09-13,30," 2,100 ",2021-09-05,2021-12-25,111
AF-ACS-00001,건축자재,콘크리트블록,B-6 150×190×390㎜ KS,매, 700 ,2021,2021-08-20,7," 4,900 ",2021-08-01,2022-01-21,173
AF-ACT-00001,건축자재,점토벽돌,"SH3201/3205(미장,토담) 190×90×57㎜",EA, 380 ,2021,2021-02-13,47," 17,860 ",2021-01-31,2021-03-20,48
AF-ACU-00001,건축자재,대리석,"평창대리석, 벽체용 20T(물갈기)",㎡," 140,000 ",2021,2021-04-07,29," 4,060,000 ",2021-04-02,2021-06-10,69
AF-ACV-00001,건축자재,화강석,포천석 (A급) 원석,재," 8,000 ",2021,2021-12-28,44," 352,000 ",2021-12-24,2022-03-14,80
AF-ACW-00001,건축자재,석재타일,"자기질, GN 150x150x15T",㎡," 27,000 ",2021,2021-04-08,36," 972,000 ",2021-03-19,2021-05-28,70
AF-ACX-00001,건축자재,외장타일,"200×200×9T(파스텔,무유,일반컬러)",㎡," 33,000 ",2021,2021-08-15,33," 1,089,000 ",2021-07-25,2021-08-21,27
AF-ACY-00001,건축자재,아스팔트루핑,"루핑 25kg, 1m×21m, KSF 4902",R/L," 50,000 ",2021,2021-07-12,41," 2,050,000 ",2021-06-26,2021-11-01,128
AF-ACZ-00001,건축자재,그을림점토기와,"한식그을림기와(중와)여와, 360×300×21",매," 2,080 ",2021,2021-05-21,18," 37,440 ",2021-05-11,2021-06-28,48
AF-ADA-00001,건축자재,브로운아스팔트,KSM2204 PN. 침입도 10∼20,M/T," 1,700,000 ",2021,2021-03-28,3," 5,100,000 ",2021-03-03,2021-03-06,3
AF-ADB-00001,건축자재,플라스틱창문틀,"115 미서기창115×1000×1000(양면색상, 유리 16T)",Set," 87,980 ",2021,2021-01-19,4," 351,920 ",2021-01-18,2021-03-06,47
AF-ADC-00001,건축자재,알루미늄새시,프로로폰(불소코팅)에버그린,kg," 9,000 ",2021,2021-03-28,30," 270,000 ",2021-03-24,2021-04-21,28
AF-ADD-00001,건축자재,판유리,"맑은유리,5mm 152.4×304.8㎝",㎡," 7,620 ",2021,2021-03-12,49," 373,380 ",2021-03-01,2021-07-17,138
AF-ADE-00001,건축자재,수성도료(수성),"KSM6010 2종 2급, 백색, 내부용 18ℓ",통," 66,000 ",2021,2021-08-02,12," 792,000 ",2021-07-06,2021-09-26,82
AF-ADF-00001,건축자재,유성도료(조합),"KSM6020 1종 1급, 백색, 18ℓ",통," 221,000 ",2021,2021-04-22,23," 5,083,000 ",2021-03-23,2021-05-26,64
AF-ADG-00001,건축자재,도로용페인트,"KSM6080 3종 가열형(백색), 18ℓ",통," 97,000 ",2021,2021-12-07,10," 970,000 ",2021-11-10,2022-03-28,138
AF-ADH-00001,건축자재,유성도료(에나멜),"KSM6020  2종, 1급, 백색, 18ℓ",통," 119,350 ",2021,2021-07-27,15," 1,790,250 ",2021-06-28,2021-09-07,71
AF-ADI-00001,건축자재,비닐시트바닥재(숲),블루 2.0T× 1830mm,㎡," 16,000 ",2021,2021-01-01,44," 704,000 ",2020-12-09,2021-02-23,76
AF-ADJ-00001,건축자재,디럭스타일,LG 3.0×300×300㎜(디럭스마블),㎡," 8,400 ",2021,2021-12-07,2," 16,800 ",2021-12-04,2022-04-08,125
AF-ADK-00001,건축자재,스티로폼,1호 10×900×1800㎜,매," 1,940 ",2021,2021-07-19,2," 3,880 ",2021-07-05,2021-11-06,124
AF-ADL-00001,건축자재,유리섬유보드,#64K(밀도) 50mm 1m×2m,㎡," 8,320 ",2021,2021-01-16,13," 108,160 ",2021-01-14,2021-01-19,5
AF-ADM-00001,건축자재,합판,(내수합판)12㎜×1220×2440㎜(4′×8′),매," 29,500 ",2021,2021-08-26,47," 1,386,500 ",2021-07-28,2021-12-20,145
AF-ADN-00001,건축자재,마이텍스,12mm×300×600,㎡," 8,200 ",2021,2021-10-22,25," 205,000 ",2021-10-11,2021-12-31,81
AF-ADO-00001,건축자재,일반석고보드,9.5×900×1800㎜,매," 3,900 ",2021,2021-08-26,35," 136,500 ",2021-08-17,2021-10-24,68
AG-ADP-00001,배관설비재,배관용탄소강관(SPP),20㎜ 반제품 KS(흑관),m," 2,200 ",2021,2021-02-17,50," 110,000 ",2021-02-08,2021-05-05,86
AG-ADP-00001,배관설비재,배관용탄소강관(SPP),20㎜ 반제품 KS(백관),m," 2,980 ",2021,2021-04-26,6," 17,880 ",2021-04-16,2021-05-02,16
AG-ADQ-00001,배관설비재,공업배관용스테인리스관,STS 304 TP-A  호칭 15A 두께 2.0t -KSD3576-,m," 4,950 ",2021,2021-06-11,39," 193,050 ",2021-06-10,2021-06-12,2
AG-ADR-00001,배관설비재,폴리부틸렌(PB)파이프,"급수,급탕관(직관,롤관) 15mm",m, 740 ,2021,2021-08-20,9," 6,660 ",2021-08-03,2021-09-11,39
AG-ADS-00001,배관설비재,PVC파이프,수도용직관 20㎜×4m,본," 3,760 ",2021,2021-04-09,22," 82,720 ",2021-03-14,2021-06-12,90
AG-ADT-00001,배관설비재,동파이프,L-TYPE 15A 15.88㎜   0.426kg/m,m," 6,280 ",2021,2021-06-09,35," 219,800 ",2021-05-20,2021-09-08,111
AG-ADU-00001,배관설비재,수도용폴리에틸렌관,SDR11 PE80 무공관 20mm,m, 560 ,2021,2021-07-26,31," 17,360 ",2021-07-08,2021-09-25,79
AG-ADV-00001,배관설비재,가스관,PLP 가스관  150A ,m," 43,550 ",2021,2021-10-15,34," 1,480,700 ",2021-09-28,2022-03-09,162
AG-ADW-00001,배관설비재,가단주철제관이음쇠(흑관),나사식소켓 15mm ,EA, 450 ,2021,2021-11-14,24," 10,800 ",2021-11-07,2022-02-17,102
AG-ADX-00001,배관설비재,동관이음쇠(KSD5578),90도 엘보 65mm  외경 66.68mm,EA," 17,220 ",2021,2021-11-27,8," 137,760 ",2021-11-02,2022-01-24,83
AH-ADY-00001,밸브류,청동제밸브,게이트 15㎜   5kg/㎠,EA," 9,430 ",2021,2021-03-28,8," 75,440 ",2021-03-02,2021-03-18,16
AH-ADZ-00001,밸브류,주철제밸브,게이트 80㎜  10kg/㎠,EA," 97,500 ",2021,2021-05-05,6," 585,000 ",2021-04-05,2021-07-27,113
AH-AEA-00001,밸브류,주강제밸브,게이트 80㎜  10kg/㎠,EA," 347,600 ",2021,2021-02-04,44," 15,294,400 ",2021-01-20,2021-03-10,49
AQ-AHJ-00001,위생기재,대변기,서양식탱크 일체형사이펀변기(하이형) 2020C,조," 230,000 ",2021,2021-12-15,14," 3,220,000 ",2021-11-30,2022-05-02,153
AR-AHK-00001,보일러·연소기 ,가스보일러,S-LINE 와인콘덴싱 16000Kcal/h,대," 550,000 ",2021,2021-09-01,8," 4,400,000 ",2021-08-02,2021-08-17,15
AR-AHL-00001,보일러·연소기 ,기름보일러,STH-50S 겸용 50000Kcal/h,대," 1,270,000 ",2021,2021-04-05,13," 16,510,000 ",2021-03-06,2021-03-11,5
AS-AHM-00001,냉난방기기,가스온풍기,RHF-1004F,대," 1,105,000 ",2021,2021-12-14,40," 44,200,000 ",2021-11-22,2022-04-19,148
AS-AHN-00001,냉난방기기,시스템에어컨디셔너,실외기 수냉식 Multiv 18HP,대," 15,028,200 ",2021,2021-04-09,48," 721,353,600 ",2021-03-16,2021-04-01,16
AI-AEB-00001,보온.보냉재,미네랄울파이프카바,"40mm, 1½"", 40T",m," 5,104 ",2021,2021-12-03,12," 61,248 ",2021-11-07,2022-01-14,68
AJ-AEC-00001,"전기통신
및
소방설비",HIV전선,단선2.5 SQ,m, 331 ,2021,2021-11-13,11," 3,641 ",2021-11-02,2022-04-17,166
AJ-AED-00001,"전기통신
및
소방설비",OW전선,연선 14㎟,m," 1,732 ",2021,2021-11-11,10," 17,320 ",2021-10-12,2022-01-08,88
AJ-AEE-00001,"전기통신
및
소방설비",F-CV전선,1C 2.5SQ(0.6/1KV),m, 608 ,2021,2021-12-21,28," 17,024 ",2021-11-23,2022-01-02,40
AJ-AEF-00001,"전기통신
및
소방설비",고주파동축케이블,"ECX 5C-2V, 1×0.8㎜(소선수X소선경), 75Ω  -KSC 3610-",m, 680 ,2021,2021-06-10,7," 4,760 ",2021-06-02,2021-10-30,150
AJ-AEG-00001,"전기통신
및
소방설비",CPEV전화케이블,"0.5㎜, 200P",m," 21,320 ",2021,2021-03-21,31," 660,920 ",2021-03-03,2021-06-17,106
AJ-AEH-00001,"전기통신
및
소방설비",LAN(UTP)케이블,"UTP CAT.6/CM,  24AWG×4PR",m, 670 ,2021,2021-03-06,30," 20,100 ",2021-03-05,2021-05-19,75
AJ-AEI-00001,"전기통신
및
소방설비",에나멜동선,PEW/UEW 0.14㎜,kg," 16,951 ",2021,2021-04-17,25," 423,775 ",2021-03-21,2021-07-06,107
AJ-AEJ-00001,"전기통신
및
소방설비",강제전선관,"KSC 8401,16mm,21.0×2.30mm,1.06kg/m",m," 2,830 ",2021,2021-12-08,44," 124,520 ",2021-11-17,2022-01-26,70
AJ-AHO-00001,"전기통신
및
소방설비",FC통신관,50mm(1본=60m),본," 21,500 ",2021,2021-05-01,6," 129,000 ",2021-05-01,2021-07-05,65
AJ-AEL-00001,"전기통신
및
소방설비",몰드변압기,"100KVA (22.9Kv/480Kv 이하), 3상 표준소비효율",대," 13,300,000 ",2021,2021-12-26,25," 332,500,000 ",2021-12-20,2022-05-14,145
AJ-AEM-00001,"전기통신
및
소방설비",배선용차단기(MCCB),"ABN-52C, 정격전압:460V, 정격전류:15~50, 14KA, 극수2P",대," 33,800 ",2021,2021-07-12,13," 439,400 ",2021-07-10,2021-08-26,47
AJ-AEN-00001,"전기통신
및
소방설비",전자개폐기,"표준형 CMS-50, 11KW/220V, 22KW/460V, 2소자",대," 82,857 ",2021,2021-02-12,44," 3,645,708 ",2021-01-27,2021-06-30,154
AJ-AEO-00001,"전기통신
및
소방설비",형광램프,"FL 20S-EX-D, 20W, 삼파장(번개표)",EA," 1,900 ",2021,2021-12-06,17," 32,300 ",2021-11-09,2022-02-15,98
AJ-AEP-00001,"전기통신
및
소방설비",축전지,"자동차용축전지, BX 80 L/R, (12V,80AH)",EA," 115,000 ",2021,2021-06-14,33," 3,795,000 ",2021-06-10,2021-09-11,93
AJ-AEQ-00001,"전기통신
및
소방설비",ABC소화기,"1.5kg(빌딩,공장용,대종규격)",대," 21,000 ",2021,2021-05-16,45," 945,000 ",2021-05-10,2021-07-24,75
AK-AHP-00001,기계공구,수중모터펌프,심정용 SP-1027,대," 1,970,000 ",2021,2021-01-06,49," 96,530,000 ",2020-12-16,2021-03-18,92
AK-AES-00001,기계공구,교류아크용접기,HAWL-130 10KVA 5KW 130A,대," 196,000 ",2021,2021-04-13,41," 8,036,000 ",2021-03-19,2021-08-28,162
AK-AET-00001,기계공구,용접봉,연강용 4.0mm(KSE-4301),kg," 2,980 ",2021,2021-07-08,14," 41,720 ",2021-06-17,2021-09-02,77
AK-AEU-00001,기계공구,전기드릴,PD-10C,대," 90,000 ",2021,2021-01-11,32," 2,880,000 ",2021-01-06,2021-03-09,62
AK-AEV-00001,기계공구,핸드그라인더,PG-6,대," 176,000 ",2021,2021-03-27,6," 1,056,000 ",2021-03-08,2021-04-29,52
AK-AEW-00001,기계공구,단열볼베어링,ZZ 6010(국산),EA," 8,549 ",2021,2021-06-19,45," 384,705 ",2021-06-16,2021-10-03,109
AK-AEX-00001,기계공구,유도전동기,저압모터 0.75KW 4P 삼상전폐(프리미엄효율),대," 399,000 ",2021,2021-10-28,37," 14,763,000 ",2021-10-10,2021-11-15,36
AL-AEY-00001,석유화학제품,나프타,공업용,ℓ,540.3 ,2021,2021-10-27,21," 11,346 ",2021-10-11,2021-10-24,13
AL-AEZ-00001,석유화학제품,에틸렌,99.8%이상,Ton," 1,270,000 ",2021,2021-11-20,28," 35,560,000 ",2021-11-04,2022-01-07,64
